ID,Location-batiment,ROOM,Ground/Floor,Asset type,"Hostname/
Label",Name/Profile of current user,Brand/Model/Qty/HostSRV,Specs1,Specs2,Serial Number,Status,Vendor,Purchase date,"Purchase
price (TTC)",P.O. #,Last user,Notes
G,Cycle des Benjamin,Salle Polyvalente,,AP,Benjamin-GRD-1-Salle-polyvaler,,AIR-AP1815I-E-K9,192.168.20.26,bc:26:c7:c3:41:00,,In use,,,,,,
G,Cycle des Minimes,salle sport,,AP,CycleDesMinimes-GRD0-Sallespc,,AIR-AP1815I-E-K9,192.168.20.142,bc:26:c7:3c:15:c8,,In use,,,,,,
G,Cycle des Terminales,Secretaire,,AP,CycleDesTerminal-G1-Secretaire,,AIR-AP1815I-E-K9,192.168.20.124,bc:26:c7:56:30:b8,,In use,,,,,,
G,Direction ,Secretaire General,,AP,Administration-Secretairaegenera,,AIR-AP1815I-E-K9,192.168.20.17,bc:26:c7:44:25:58,,In use,,,,,,
G,Direction ,Server Room,,AP,AP-ServerRoom,,AIR-AP1815I-E-K9,192.168.20.84,04:5b:fp:79:74:98,,In use,,,,,,
G,Cycle des Terminales,sg,,AP,CycleDesTerminal-G0-SG-A,,AIR-AP1815I-E-K9,192.168.20.59,bc:26:c7:c3:10:e0,,In use,,,,,,
G,Cycle des Terminales,sga,,AP,CycleDesTerminal-G0-SG-A,,AIR-AP1815I-E-K9,192.168.20.40,bc:26:c7:19:83:c0,,In use,,,,,,
G,Cycle des Terminales,sga1,,AP,CycleDesTerminal-G1-SG-A1,,AIR-AP1815I-E-K9,192.168.20.119,bc:26:c7:62:37:20,,In use,,,,,,
G,Cycle des Terminales,sgb,,AP,CycleDesTerminal-G0-SG-B,,AIR-AP1815I-E-K9,192.168.20.59,bc:26:c7:c3:10:e0,,In use,,,,,,
G,Art Plastic,Studio,,AP,Art_plastic_G-1_studio,,AIR-AP1815I-E-K9,192.168.20.134,bc:26:c7:c3:47:90,,In use,,,,,,
G,Cycle des Petits,surv,,AP,CycledesPetits-G1-SURV,,AIR-AP1815I-E-K9,192.168.20.104,bc:26:c7:c3:5f:18,,In use,,,,,,
G,Cycle des Secondaires,surveillent,,AP,CycleDesSecondaires-G-2 Surv,,AIR-AP1815I-E-K9,192.168.20.64,bc:26:c7:19:82:58,,In use,,,,,,
G,Cycle des Terminales,sv,,AP,CycleDesTerminal-G1-SV,,AIR-AP1815I-E-K9,192.168.20.103,bc:26:c7:c6:34:60,,In use,,,,,,
G,Cycle des Terminales,svb,,AP,CycleDesTerminal-G0-SV-B,,AIR-AP1815I-E-K9,192.168.20.43,00:ea:bd:64:f0:f8,,In use,,,,,,
G,Cycle des Minimes,Theatre,,AP,CycleDesMinimes-GRD-1-Theatre,,AIR-AP1815I-E-K9,192.168.20.68,bc:26:c7:44:28:00,,In use,,,,,,
G,Cycle des Moyens,theatre,,AP,CycleDesMoyens-G-1-Theatre,,AIR-AP1815I-E-K9,192.168.20.80,bc:26:c7:c2:f3:38,,In use,,,,,,
G,Cycle des Secondaires,theatre,,AP,Cyclesecondaire-G-1-Theatre,,AIR-AP1815I-E-K9,192.168.20.106,bc:26:c7:c3:3f:28,,In use,,,,,,
G,Economat ,IT Storage Room,,AP Mount,NA,,AIR-AP 1815I,,,,Available,?,?, $-   ,?,,
G,Economat ,IT Storage Room,,AP Mount,NA,,AIR-AP 1815I,,,,Available,?,?, $-   ,?,,
